PrimaryKey,PlotKey,PlotID,State,County,ID
CO_TRFO-2020_SD-165_V12020-09-01,CO_TRFO-2020_SD-165_V1,SD-165,CO,Tres Rios Field Office,213
19082308173865442019-09-01,1908230817386544,GJFO GUSG 2019 13,CO,MESA,214
17061314074164222017-09-01,1706131407416422,WySage-1449,CO,Gunnison,215
CO_Gunnison-Field-Office-2020_Alpine-231_V12020-09-01,CO_Gunnison-Field-Office-2020_Alpine-231_V1,Alpine-231,CO,Gunnison Field Office,216
18092213222736612018-09-01,1809221322273661,Aspen-01,CO,Gunnison,217
CO_TRFO-2020_AS-345_V12020-09-01,CO_TRFO-2020_AS-345_V1,AS-345,CO,Tres Rios Field Office,218
19082305383944422019-09-01,1908230538394442,GJFO GUSG 2019 11,CO,MESA,219
18060112251652862018-09-01,1806011225165286,SS-069,CO,Dolores,220
1807091140424222018-09-01,180709114042422,SD-150,CO,San Miguel,221
17091309024737572017-09-01,1709130902473757,Cotton-1413,CO,Gunnison,222
CO_TRFO-2020_SS-090_V12020-09-01,CO_TRFO-2020_SS-090_V1,SS-090,CO,Tres Rios Field Office,223
16092013525494892016-09-01,1609201352549489,618,CO,Mesa,224
16080215394611252016-09-01,1608021539461125,Aspen-508,CO,Gunnison,225
16083113000723892016-09-01,1608311300072389,MtnSage-341,CO,Hinsdale,226
17081711000891382017-09-01,1708171100089138,Oak-1169,CO,Gunnison,227
COS08000_2020_PJ-4682019-09-01,COS08000_2020_PJ-468,PJ-468,CO,COS08000,228
17071313301378152017-09-01,1707131330137815,Other-1090,CO,San Juan,229
18062813112036722018-09-01,1806281311203672,Aspen-2216,CO,Gunnison,230
19082411442428352019-09-01,1908241144242835,GJFO GUSG 2019 21,CO,MESA,231
18062714273120652018-09-01,1806271427312065,Oak-2060,CO,Gunnison,232
16082908262572922016-09-01,1608290826257292,Oak-155,CO,Gunnison,233
15062311335463422015-09-01,1506231133546342,107,CO,NA,234
15061509171013352015-09-01,1506150917101335,75,CO,NA,235
17081710425089252017-09-01,1708171042508925,FID 142,CO,Mesa,236
19082008455710622019-09-01,1908200845571062,FID 142,CO,MESA,237
19081408171722532019-09-01,1908140817172253,GJFO GUSG 2019 5,CO,MESA,238
17072414594112132017-09-01,1707241459411213,PJ-396,CO,Mesa,239
18081309432040232018-09-01,1808130943204023,WySage-2239,CO,Gunnison,240
COS01000_2019_SD-1582019-09-01,COS01000_2019_SD-158,SD-158,CO,COS01000,241
19082612514993642019-09-01,1908261251499364,GJFO GUSG 2019 32,CO,MESA,242
15080510294154242015-09-01,1508051029415424,203,CO,NA,243
18082212405759372018-09-01,1808221240575937,HMP-02,CO,Gunnison,244
16082508214952942016-09-01,1608250821495294,Oak -144,CO,Gunnison,245
17062715182111492017-09-01,1706271518211149,WyoSage-664,CO,Mesa,246
18060112125119362018-09-01,1806011212511936,PJ-007,CO,Dolores,247
CO_CO-NWD-2020_WyoSage-820_V12020-09-01,CO_CO-NWD-2020_WyoSage-820_V1,WyoSage-820,CO,Grand Junction Field Office,248
18082209031151972018-09-01,1808220903115197,HMP-01,CO,Gunnison,249
170717143249422017-09-01,17071714324942,SS-1244,CO,Mesa,250
